Fighter_Id,Full_Name,Nickname,Height,Weight,Reach,Stance,Belt,Gender,Weight_Class_Profile,W,L,D,Avg_Fight_Time,KD,STR,TD,SUB,Ctrl,Sig_Str_Pct,Sub_Att,KO_Rate,SUB_Rate,DEC_Rate,Fighting_Style
000774e57404d8c7,Chungreng Koren,The Indian Rhino,,135.0,,Orthodox,False,,,7.0,1.0,0.0,,,,,,,,,,,,
001eb2ab0f30e7ea,Mark Choinski,The Shark,5.8,155.0,69.0,Orthodox,False,Male,Lightweight,8.0,1.0,0.0,900.0,0.0,58.0,2.0,0.0,279.0,0.5,0.0,0.0,0.0,0.0,Striker
002ca196477ce572,Gabriel Silva,No Nickname,5.6,135.0,71.0,Orthodox,False,Male,Bantamweight,8.0,2.0,0.0,900.0,0.0,48.5,1.5,0.5,309.0,0.51,0.5,0.0,0.0,1.0,Striker
003d82fa384ca1d0,Aalon Cruz,No Nickname,6.0,145.0,78.0,Switch,False,Male,Lightweight,8.0,4.0,0.0,92.5,0.0,10.0,0.0,0.0,9.0,0.34,0.0,1.0,0.0,0.0,No Clear Style
0052de90691d4a93,Davi Ramos,Tasmanian Devil,5.6,155.0,70.0,Orthodox,False,Male,Lightweight,10.0,4.0,0.0,660.29,0.0,36.0,0.86,0.29,101.0,0.45,0.29,0.0,0.5,0.5,Hybrid
006efbb0c1621fd7,Tyler Hill,No Nickname,6.3,170.0,,Switch,False,,,8.0,2.0,0.0,,,,,,,,,,,,
008c6e1a25751575,Wesley Little,No Nickname,6.4,205.0,,Orthodox,False,,,4.0,8.0,0.0,,,,,,,,,,,,
008cf84faae9c7a5,Bryan Travers,No Nickname,,155.0,,Orthodox,False,,,15.0,4.0,0.0,,,,,,,,,,,,
008dc37cca279def,Sean McCorkle,No Nickname,6.7,265.0,81.0,Orthodox,False,Male,Heavyweight,17.0,7.0,0.0,282.67,0.0,9.33,1.0,1.33,196.0,0.39,1.33,0.0,1.0,0.0,Wrestler
008ea710276c9606,Jeff Molina,El Jefe,5.6,125.0,69.0,Orthodox,False,Male,Flyweight,11.0,2.0,0.0,715.33,0.33,73.0,1.0,0.0,113.33,0.52,0.0,0.5,0.0,0.5,Striker
009341ed974bad72,Jiri Prochazka,No Nickname,6.3,205.0,80.0,Orthodox,False,Male,Light Heavyweight,32.0,5.0,1.0,664.12,0.5,62.12,0.88,0.38,98.0,0.53,0.38,1.0,0.0,0.0,Striker
009c4420727149ea,AJ Dobson,No Nickname,6.1,185.0,76.0,Orthodox,False,Male,Middleweight,7.0,3.0,0.0,743.25,0.0,55.0,2.75,0.0,238.5,0.45,0.0,0.0,0.0,1.0,Striker
00a35c92b03992b0,Oron Kahlon,No Nickname,5.8,135.0,70.0,Orthodox,False,,,16.0,1.0,0.0,,,,,,,,,,,,
00a3ff40c4b2cf21,Glaico Franca Moreira,Nego,6.0,155.0,77.0,Orthodox,False,Male,Lightweight,15.0,5.0,0.0,895.33,0.0,52.67,3.0,0.33,365.33,0.58,0.33,0.0,0.33,0.67,Striker
00a905a4a4a2b071,Greg McIntyre,No Nickname,5.1,155.0,,Orthodox,False,,,6.0,4.0,0.0,,,,,,,,,,,,
00b490982afd1b17,SangHoon Yoo,Assassin,6.0,170.0,74.0,Orthodox,False,,,8.0,2.0,0.0,,,,,,,,,,,,
00debc804e2b1cd4,Dylan Andrews,The Villain,6.1,185.0,74.0,Switch,False,Male,Middleweight,18.0,7.0,0.0,444.8,0.2,23.0,0.8,0.2,119.2,0.63,0.2,0.8,0.2,0.0,Striker
00e11b5c8b7bfeeb,Luke Rockhold,No Nickname,6.3,185.0,77.0,Southpaw,False,Male,Middleweight,16.0,6.0,0.0,463.55,0.36,26.55,0.55,0.27,86.91,0.56,0.27,0.6,0.4,0.0,Striker
010986ee359fb863,John Salter,No Nickname,6.1,185.0,74.0,Southpaw,False,Male,Middleweight,14.0,3.0,0.0,459.67,0.0,11.0,1.0,0.0,61.67,0.4,0.0,0.0,0.0,0.0,Hybrid
0112352cb32f5026,Denis Tiuliulin,No Nickname,6.1,185.0,77.0,Orthodox,False,Male,Middleweight,10.0,10.0,0.0,470.33,0.33,28.33,0.5,0.0,34.67,0.38,0.0,1.0,0.0,0.0,Hybrid
012fc7cd0779c09a,Art Santore,Pachuco,6.2,185.0,,Orthodox,False,,,18.0,8.0,0.0,,,,,,,,,,,,
013da757877044a2,Joe Brammer,The South Side Strangler,5.8,155.0,,Orthodox,False,Male,Lightweight,7.0,3.0,1.0,558.0,0.0,20.0,0.5,0.0,18.5,0.24,0.0,0.0,0.0,0.0,No Clear Style
01641ba5df0c69b0,Gabriel Bonfim,Marretinha,6.1,170.0,72.0,Orthodox,False,Male,Welterweight,18.0,1.0,0.0,499.0,0.29,39.71,0.86,0.57,36.71,0.43,0.57,0.33,0.5,0.17,Hybrid
016a8d958883167c,Gina Mazany,Danger,5.6,125.0,68.0,Southpaw,False,Female,Women's Flyweight,7.0,6.0,0.0,492.12,0.25,30.5,1.25,0.12,116.88,0.43,0.12,1.0,0.0,0.0,Hybrid
01762e1d4ff4dc51,Justice Torres,No Nickname,5.7,145.0,66.0,Southpaw,False,,,12.0,4.0,0.0,,,,,,,,,,,,
01784fbc27c68b14,Rachael Ostovich,No Nickname,5.3,125.0,62.0,Orthodox,False,Female,Women's Flyweight,4.0,6.0,0.0,555.25,0.0,23.25,1.0,0.25,21.5,0.44,0.25,0.0,0.0,0.0,Hybrid
01afe0916a40c7c5,Shavkat Rakhmonov,Nomad,6.1,170.0,77.0,Orthodox,False,Male,Welterweight,19.0,0.0,0.0,644.43,0.14,26.86,0.71,0.43,232.29,0.55,0.43,0.25,0.5,0.25,Striker
01b352b6a9074d5c,Chase Sherman,The Vanilla Gorilla,6.4,250.0,78.0,Orthodox,False,Male,Heavyweight,16.0,12.0,0.0,641.33,0.2,68.93,0.0,0.0,18.4,0.46,0.0,0.6,0.0,0.4,Hybrid
01b39decaf0abf6a,Benji Radach,Razor,5.1,185.0,,Orthodox,False,Male,Welterweight,21.0,7.0,0.0,394.33,0.67,14.33,0.0,0.0,210.33,0.59,0.0,0.0,0.0,1.0,Striker
01c9e4013afce141,Michael Aswell Jr.,The Texas Kid,5.8,145.0,69.0,Orthodox,False,Male,Featherweight,11.0,3.0,0.0,501.0,0.0,63.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,Hybrid
01d2ed8c502e3828,Caros Fodor,The Future,5.9,155.0,74.0,Orthodox,False,Male,Lightweight,11.0,6.0,0.0,900.0,0.0,47.0,3.0,0.0,127.0,0.51,0.0,0.0,0.0,0.0,Striker
