Fight_Id,Fighter_Id_1,Fighter_Id_2,Raw_Fighter_1,Raw_Fighter_2,Weight_Class,Event_Id,Result_1,Result_2,Time Format,Referee,target
4a0db214d9721d6e,d661ce4da776fc20,c03520b5c88ed6b4,Merab Dvalishvili,Petr Yan,Bantamweight,bd92cf5da5413d2a,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,0
dfa692db6d39330c,17e97649403ba428,a0f0004aadf10b71,Alexandre Pantoja,Joshua Van,Flyweight,bd92cf5da5413d2a,L,W,5 Rnd (5-5-5-5-5),Herb Dean,0
fbbb9e72900b71f5,4461d7e47375a895,792be9a24df82ed6,Brandon Moreno,Tatsuro Taira,Flyweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Mark Smith,0
1dc29f4c6fcdd356,6e743a33d56bdaa4,056c493bbd76a918,Henry Cejudo,Payton Talbott,Bantamweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Chris Tognoni,0
c797b58d85c840a4,2e7878927067fdca,99bd51917728c25d,Grant Dawson,Manuel Torres,Lightweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Herb Dean,0
b3d2ac2244e4f791,fd406a32a6fb3a29,809bd1a871491508,Terrance McKinney,Chris Duncan,Lightweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Marc Goddard,0
2417cc7bc1eea75b,6a740daf1b279661,9d62c2d8ee151f08,Maycee Barber,Karine Silva,Women's Flyweight,bd92cf5da5413d2a,W,L,3 Rnd (5-5-5),Mark Smith,1
10a57b983e59f727,1e4f273069fb9e85,ff62013d2fce6d13,Nazim Sadykhov,Fares Ziam,Lightweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Jason Herzog,0
3c683da1924b6c44,1e719d4b676dc19a,7acbb0972e75281a,Marvin Vettori,Brunno Ferreira,Middleweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Chris Tognoni,0
7af407397532f7cf,4d8fa64202cee4c1,64a50dad704d1d49,Edson Barboza,Jalin Turner,Lightweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Herb Dean,0
ea660db65bfa998f,1c23ec2f1b71be40,6e8f1bcdda94ff45,Iwo Baraniewski,Ibo Aslan,Light Heavyweight,bd92cf5da5413d2a,W,L,3 Rnd (5-5-5),Marc Goddard,1
964ea1777695851b,841695e02c99a521,6d48a2df51749d91,Mansur Abdul-Malik,Antonio Trocoli,Middleweight,bd92cf5da5413d2a,W,L,3 Rnd (5-5-5),Mark Smith,1
40fa4f8b4b93884e,480779d7f9a424d3,8d11d9c13e2ccdf7,Muhammad Naimov,Mairon Santos,Featherweight,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Mark Smith,0
5f5b626e67529056,eae48ff31db420c2,193b9d1858bc4df3,Arman Tsarukyan,Dan Hooker,Lightweight,92c96df8bdab5fea,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,1
b2218930b982d9b6,442c9011034ae1fd,b1b0729d27936f2f,Belal Muhammad,Ian Machado Garry,Welterweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Rich Mitchell,0
870d374f8d9af65a,0845c81e37d3bcb3,a495f599e787614f,Volkan Oezdemir,Alonzo Menifield,Light Heavyweight,92c96df8bdab5fea,W,L,3 Rnd (5-5-5),Marc Goddard,1
8ed609d80e135d94,bf2c8e01b07d3eb1,0a1942069c9ad6b6,Jack Hermansson,Myktybek Orolbai,Welterweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Daniel Movahedi,0
e8307c7686c42d8c,fc08099550072fe4,6747ccd6d1acd266,Waldo Cortes Acosta,Shamil Gaziev,Heavyweight,92c96df8bdab5fea,W,L,3 Rnd (5-5-5),Lukasz Bosacki,1
00ee51bba08b7a08,98aa60cf58071fd6,f00ac08ab056af5d,Tagir Ulanbekov,Kyoji Horiguchi,Flyweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Rich Mitchell,0
5e6a74db89f5410c,b1de86d835638319,fb37795db81f93f3,Bogdan Grad,Luke Riley,Featherweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Marc Goddard,0
c49485cedb878cf0,9d19d9e4aa2662e8,de26d906f2874dd4,Nicolas Dalby,Saygid Izagakhmaev,Welterweight,92c96df8bdab5fea,W,L,3 Rnd (5-5-5),Lukasz Bosacki,1
443f30a4a856584a,8d3273573b85be09,ab2b4ff41d6ebe0f,Alex Perez,Asu Almabayev,Flyweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Daniel Movahedi,0
f5564a9eeebd4ea0,95aff2fd8d09a5f0,09a4447655fd4b7b,Abdul Rakhman Yakhyaev,Rafael Cerqueira,Light Heavyweight,92c96df8bdab5fea,W,L,3 Rnd (5-5-5),Rich Mitchell,1
6f0231915cc28507,4a6dff1b260bcf61,a4dc0f2b95df4cc1,Bekzat Almakhan,Aleksandre Topuria,Bantamweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Marc Goddard,0
335064c3380e2f10,6a96ad1bc34fb113,d5bab53a1a603aac,Ismail Naurdiev,Ryan Loder,Middleweight,92c96df8bdab5fea,W,L,3 Rnd (5-5-5),Daniel Movahedi,1
46f81d5ecd974c1c,ca28cdf526d6b6e9,52b6bf4528130e86,Nurullo Aliev,Shem Rock,Lightweight,92c96df8bdab5fea,W,L,3 Rnd (5-5-5),Lukasz Bosacki,1
9027e156c6f1988a,b5c19c34f12c917e,ac0874309da489b9,Marek Bujlo,Denzel Freeman,Heavyweight,92c96df8bdab5fea,L,W,3 Rnd (5-5-5),Rich Mitchell,0
856f6ee049373843,275aca31f61ba28c,6b453bc35a823c3f,Jack Della Maddalena,Islam Makhachev,Welterweight,8db1b36dde268ef6,L,W,5 Rnd (5-5-5-5-5),Herb Dean,0
7606f6b6c19f2d73,132deb59abae64b1,1ebe20ebbfa15e29,Valentina Shevchenko,Zhang Weili,Women's Flyweight,8db1b36dde268ef6,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,1
477af74ea3cbba8b,c32aeb1a59e6272d,45f7cb591c3ab00b,Sean Brady,Michael Morales,Welterweight,8db1b36dde268ef6,L,W,3 Rnd (5-5-5),Blake Grice,0
3c60884853766487,7ee0fd831c0fe7c3,f1fac969a1d70b08,Leon Edwards,Carlos Prates,Welterweight,8db1b36dde268ef6,L,W,3 Rnd (5-5-5),Keith Peterson,0
9b5f190cd3f5ce16,c2299ec916bc7c56,08af939f41b5a57b,Beneil Dariush,Benoit Saint Denis,Lightweight,8db1b36dde268ef6,L,W,3 Rnd (5-5-5),Herb Dean,0
292b83afa418635f,35673bf5204524ee,260e9e0d4954aea6,Bo Nickal,Rodolfo Vieira,Middleweight,8db1b36dde268ef6,W,L,3 Rnd (5-5-5),Dan Miragliotta,1
ebb012c5f3fd0cbb,d1c65d2cf2925ddd,9d83f6da776ff7d6,Roman Kopylov,Gregory Rodrigues,Middleweight,8db1b36dde268ef6,L,W,3 Rnd (5-5-5),Marc Goddard,0
